TAZ12,Lon,Lat,fueling,year
"109",-123.755197379477,41.1541477436378,177.03641249625,"2025"
"116",-124.056933434818,40.4424556590573,268.470271909046,"2025"
"122",-120.592987698823,40.8639250224093,20.75457343375,"2025"
"129",-121.098611154994,41.596157910438,4.271461865,"2025"
"130",-120.50537088862,41.5761323329595,11.9940400575,"2025"
"156",-122.359142806701,40.9950928788783,798.006376582116,"2025"
"157",-121.997793569239,40.8695228215215,500,"2025"
"158",-121.513203795865,40.6729642834579,35.1133979366651,"2025"
"161",-122.041755606452,41.7974598413151,167.950430663679,"2025"
"162",-122.475503414042,41.8891099632226,500,"2025"
"163",-123.335680907067,41.7447460048882,16.0387075383559,"2025"
"164",-123.020229747748,41.4013733776321,55.19010674192,"2025"
"166",-122.435598978743,41.4823758663718,9.60262001047236,"2025"
"169",-121.813996666238,41.4130876781861,500,"2025"
"170",-122.778672438376,40.9218877079846,77.2033091125159,"2025"
"171",-123.26194366533,40.8849612994346,0.222772002792336,"2025"
"172",-123.242836035237,40.4876323079403,1.42630193996477,"2025"
"219",-121.332130179713,39.6408160566063,170.854799828661,"2025"
"226",-121.777392301415,39.4185001197963,14.5861980353061,"2025"
"227",-122.01186113245,39.0017575662403,3.11966197719649,"2025"
"235",-122.046855323628,39.6714882878186,194.118690860669,"2025"
"242",-122.516642598164,38.8210081514369,8.24793208656339,"2025"
"244",-122.863790704433,39.2897206648043,77.4517981691215,"2025"
"246",-123.214005860486,39.7678225150764,4.7081020272121,"2025"
"247",-123.696780822889,39.7797722225828,3.41392599906951,"2025"
"248",-123.638358068746,39.4549754829463,5.05982797829921,"2025"
"251",-123.31842823481,39.358752302385,17.6270477080876,"2025"
"256",-123.528879752079,39.1619536853695,15.5340161334472,"2025"
"257",-123.511530514922,38.9071458741385,2.3904680065148,"2025"
"258",-123.198119488288,38.9628393576288,19.5822200613755,"2025"
"273",-121.003790813055,39.8816399405759,45.9264755436707,"2025"
"276",-121.235650122588,40.2722854949641,8.28624007330455,"2025"
"277",-120.516014343013,39.580688669977,500,"2025"
"278",-121.808539266908,40.1955332495693,74.8256504126909,"2025"
"280",-122.330292053655,40.2721818766048,36.9450159087296,"2025"
"308",-121.621730964904,38.8940215276172,693.579714087473,"2025"
"309",-121.800555761586,39.1532217658689,72.7933738758646,"2025"
"331",-122.137491984328,38.7861425665166,101.409815929843,"2025"
"345",-121.380663692875,39.146240543838,86.9218282062643,"2025"
"403",-120.976681168372,38.8534670700679,500,"2025"
"414",-120.324744326104,38.8305565323631,77.6301962480342,"2025"
"420",-120.733007600707,38.8929687729119,425.524498601303,"2025"
"425",-120.526148108695,38.6028624578985,35.9842733787933,"2025"
"434",-120.474697300892,39.2486513050169,1402.90549528949,"2025"
"457",-121.048270289897,38.9445239942524,500,"2025"
"506",-121.467335110454,38.5876624894595,326.450528406244,"2025"
"534",-121.502137803696,38.5683440463928,1432.38679429674,"2025"
"715",-121.625620682018,38.1702973354452,446.836553269037,"2025"
"742",-121.278113561835,38.2908557249288,125.645603818496,"2025"
"803",-122.304669514121,38.626594073059,18.428473030537,"2025"
"829",-121.800333120393,38.4226701653643,493.239903742887,"2025"
"858",-122.166125129309,38.2540563838418,500,"2025"
"877",-121.977703574752,38.1573677714284,449.083980588982,"2025"
"887",-123.218622980784,38.6322674554832,7.70503201675609,"2025"
"888",-122.822270828278,38.7299133905846,57.1478501041792,"2025"
"895",-122.960106445359,38.518595563279,41.2921200421047,"2025"
"906",-122.7834662554,38.1630636588719,214.547941441811,"2025"
"935",-122.497077312202,37.9559523409793,313.033813173089,"2025"
"983",-122.54672852134,38.2190105926224,152.815248082959,"2025"
"1210",-122.414118649336,37.5345521215456,500,"2025"
"1283",-122.299910594892,37.2903668424745,195.753259289746,"2025"
"1319",-122.153272293955,38.0162324480831,166.039916675294,"2025"
"1365",-121.632263702073,37.8819063487158,367.732338808191,"2025"
"1480",-122.308439123972,37.8015331211233,411.120559225174,"2025"
"1672",-121.989909283744,37.6501706443344,620.829474519808,"2025"
"1686",-121.807375562733,37.5568373763309,236.780676181418,"2025"
"1796",-121.973765460631,37.4414115045493,514.883924526739,"2025"
"1850",-121.89986419762,37.3462081373769,673.610190427282,"2025"
"1944",-121.515854373978,37.2357884174404,802.336537681568,"2025"
"2103",-121.302980768737,37.8350228078353,265.804184267302,"2025"
"2114",-121.453225587472,37.6113436116689,500,"2025"
"2119",-121.077666676359,38.1160988621884,477.990929690115,"2025"
"2127",-121.114934764578,37.7551238096651,259.834135839047,"2025"
"2133",-121.458026689971,37.921840478373,24.3390567396128,"2025"
"2208",-121.311387632705,37.4888211038607,256.540150712078,"2025"
"2215",-120.88971210717,37.5082736556468,112.076031768251,"2025"
"2224",-120.609430876517,37.6492521727898,5.86650215626061,"2025"
"2227",-120.830169988109,37.8866418267492,5000,"2025"
"2310",-120.645877326591,37.1783649815002,93.75874126,"2025"
"2311",-120.903713397097,37.205457186913,500,"2025"
"2323",-120.805122052661,37.3389480741047,145.345187850093,"2025"
"2324",-120.483074345704,37.4928411171191,63.1296320051179,"2025"
"2478",-119.782721748134,36.737094780275,598.074843058392,"2025"
"2507",-119.022964865082,37.1720303365142,86.9856505793602,"2025"
"2509",-118.869473985197,36.8217556084848,208.352454219896,"2025"
"2518",-119.682397429884,36.4759448890163,168.144304020287,"2025"
