"","TAZ12","fueling","year"
"1",109,27500,2040
"2",122,1706.02979355625,2040
"3",129,19675.8336313468,2040
"4",130,500,2040
"5",137,17258.2684564428,2040
"6",139,80000,2040
"7",150,20000,2040
"8",156,20000,2040
"9",157,20000,2040
"10",158,669.982634914679,2040
"11",161,500,2040
"12",162,20000,2040
"13",163,500,2040
"14",164,20000,2040
"15",166,20000,2040
"16",169,20000,2040
"17",170,3000,2040
"18",171,72.0666197447038,2040
"19",172,370.416173882849,2040
"20",219,8797.29791043054,2040
"21",226,15000,2040
"22",227,500,2040
"23",228,1500,2040
"24",233,2290.65860951038,2040
"25",235,3000,2040
"26",242,990.302622640013,2040
"27",244,3000,2040
"28",246,465.39291402042,2040
"29",247,364.542343456644,2040
"30",248,492.84108078774,2040
"31",251,1500,2040
"32",256,1000,2040
"33",257,287.670388365204,2040
"34",258,500,2040
"35",262,20000,2040
"36",263,40000,2040
"37",268,20000,2040
"38",273,1399.55247991938,2040
"39",276,500,2040
"40",277,20000,2040
"41",278,1471.04715392845,2040
"42",280,5000,2040
"43",286,4000,2040
"44",308,40000,2040
"45",309,6000,2040
"46",327,20000,2040
"47",330,7500,2040
"48",331,986.334491240049,2040
"49",335,20000,2040
"50",345,500,2040
"51",403,40000,2040
"52",414,20000,2040
"53",420,500,2040
"54",425,10000,2040
"55",426,5000,2040
"56",429,17753.0659516867,2040
"57",434,40000,2040
"58",448,13644.8104468695,2040
"59",457,20000,2040
"60",458,20000,2040
"61",459,1500,2040
"62",460,662.717658280252,2040
"63",500,20000.000000001,2040
"64",506,35631.7511818683,2040
"65",534,20000,2040
"66",546,20000,2040
"67",679,40000,2040
"68",705,20000,2040
"69",715,20000,2040
"70",740,20000,2040
"71",742,20000,2040
"72",766,500,2040
"73",800,20000,2040
"74",801,1500,2040
"75",803,750,2040
"76",817,20000,2040
"77",818,3000,2040
"78",819,20000,2040
"79",829,20000,2040
"80",858,23000,2040
"81",877,20000,2040
"82",887,2000,2040
"83",888,5000,2040
"84",895,15000,2040
"85",906,15000,2040
"86",923,750,2040
"87",935,20000,2040
"88",983,14069.5618476173,2040
"89",1161,20000,2040
"90",1210,20000,2040
"91",1222,20000,2040
"92",1225,3000,2040
"93",1283,27500,2040
"94",1314,20000,2040
"95",1319,20000,2040
"96",1352,20000,2040
"97",1365,40000,2040
"98",1480,20000,2040
"99",1513,12159.7367205406,2040
"100",1586,17833.5449263166,2040
"101",1634,8774.64374023296,2040
"102",1638,500,2040
"103",1665,3796.07445605205,2040
