"","TAZ12","fueling","year"
"1",109,15000,2035
"2",116,500,2035
"3",122,750,2035
"4",129,1003.12436908007,2035
"5",130,500,2035
"6",137,1926.07751550488,2035
"7",150,20000,2035
"8",156,20000,2035
"9",157,20000,2035
"10",158,500,2035
"11",161,500,2035
"12",162,15545.1554142014,2035
"13",163,500,2035
"14",164,770.145369985535,2035
"15",166,20000,2035
"16",169,20000,2035
"17",170,1367.64636915841,2035
"18",171,31.4444019377909,2035
"19",172,155.959523480466,2035
"20",219,3457.96836560929,2035
"21",226,6308.70430945122,2035
"22",227,120.796225211241,2035
"23",228,1403.88895767182,2035
"24",235,2384.85073000995,2035
"25",242,302.649671017049,2035
"26",244,1165.46319400811,2035
"27",246,209.089944878535,2035
"28",247,161.618889458864,2035
"29",248,216.397377377614,2035
"30",251,632.966492017493,2035
"31",256,388.449347509887,2035
"32",257,123.093730217823,2035
"33",258,500,2035
"34",263,20000,2035
"35",268,844.602466682802,2035
"36",273,583.389619620477,2035
"37",276,255.878896608725,2035
"38",277,20000,2035
"39",278,1495.82968550305,2035
"40",280,1386.20413655143,2035
"41",286,1762.26657679776,2035
"42",308,21412.462951875,2035
"43",309,2120.84235613799,2035
"44",327,20000,2035
"45",331,1000,2035
"46",335,2051.15403603682,2035
"47",403,39931.1228837138,2035
"48",414,17943.067608496,2035
"49",420,158.953188525111,2035
"50",425,1679.67115458851,2035
"51",426,646.503135939672,2035
"52",434,24788.1112520738,2035
"53",457,20000,2035
"54",506,23593.1845610203,2035
"55",534,20000,2035
"56",705,14868.4841315714,2035
"57",715,500,2035
"58",740,10988.599006008,2035
"59",742,1000,2035
"60",800,979.380841858801,2035
"61",803,238.509633643844,2035
"62",818,1872.12037813422,2035
"63",819,20000,2035
"64",829,19636.0294602883,2035
"65",858,21954.3069252279,2035
"66",877,12176.2790010251,2035
"67",887,1731.50383086189,2035
"68",888,3620.86362145412,2035
"69",895,5132.75167111049,2035
"70",906,568.755162978508,2035
"71",923,750,2035
"72",935,13203.4623313788,2035
"73",983,1914.24612500021,2035
"74",1210,1000,2035
"75",1222,6640.07318829186,2035
"76",1283,20000,2035
"77",1314,7013.16829293347,2035
"78",1319,12314.6057901415,2035
"79",1365,20000,2035
"80",1480,20000,2035
"81",1586,20000,2035
"82",1672,18040.913848209,2035
"83",1686,20000,2035
"84",1796,20000,2035
"85",1850,20000,2035
"86",1944,14680.2687867452,2035
"87",2003,99110.6668539195,2035
"88",2103,10984.0982372773,2035
"89",2114,616.449286170265,2035
"90",2119,8708.38785102133,2035
"91",2127,20000,2035
"92",2133,20000,2035
"93",2208,19606.1978558185,2035
"94",2210,20000,2035
"95",2215,20000,2035
"96",2224,20000,2035
"97",2227,20000,2035
"98",2230,20000,2035
"99",2310,9466.76021798291,2035
"100",2311,20000,2035
"101",2313,20500,2035
"102",2323,20000,2035
"103",2324,20000,2035
"104",2331,5145.04049581393,2035
"105",2478,14094.7005757087,2035
"106",2489,6822.77961501975,2035
"107",2507,3456.6120994598,2035
"108",2509,11464.1196725432,2035
"109",2518,3807.12663501103,2035
"110",2522,590.691308196775,2035
"111",2525,1508.39998788353,2035
"112",2529,20500,2035
"113",2530,491.560481188537,2035
"114",2532,5215.82216495794,2035
"115",2545,6930.37636080956,2035
"116",2551,196.308492561123,2035
"117",2566,5184.82487214521,2035
"118",2572,1004.10392175048,2035
"119",2574,4123.44131710625,2035
"120",2602,500,2035
"121",2713,1251.47294796741,2035
"122",2714,1184.96526396825,2035
"123",2726,11385.200931691,2035
"124",2739,364.764508265582,2035
"125",2742,2495.04072874092,2035
"126",2743,5898.17940394507,2035
"127",2772,1378.86569975057,2035
"128",2795,20000,2035
"129",2824,20000,2035
"130",2836,20000,2035
"131",2893,13855.3531797648,2035
"132",2900,29558.4797155952,2035
"133",2904,440.210323483751,2035
"134",2912,20000,2035
"135",2914,498.682070830785,2035
"136",2915,907.373113870112,2035
"137",2916,7028.11022049014,2035
"138",2918,500,2035
"139",2923,303.13942141187,2035
"140",2931,203.32255881914,2035
"141",2934,500,2035
"142",2935,15000,2035
"143",2947,2710.77223006483,2035
"144",2949,5244.03386630884,2035
"145",3000,1591.02252466015,2035
"146",3004,752.220165537996,2035
"147",3008,1380.49019320027,2035
"148",3010,2704.27012109317,2035
"149",3012,2655.50693490175,2035
"150",3013,797.875123502356,2035
"151",3014,500,2035
"152",3018,386.110967209229,2035
"153",3019,500,2035
"154",3020,5000,2035
"155",3021,770.765579335096,2035
"156",3022,500,2035
"157",3029,385.822807818288,2035
"158",3030,475.785391621847,2035
"159",3034,76.3528463102362,2035
"160",3100,765.863052724852,2035
"161",3101,9837.25936456379,2035
"162",3121,10000,2035
"163",3211,4236.14094112819,2035
"164",3216,5000,2035
"165",3252,2711.26887104736,2035
"166",3301,289.019581602258,2035
"167",3303,2500,2035
"168",3324,5000,2035
"169",3362,444.484215484971,2035
"170",3363,3083.98066359275,2035
"171",3364,1736.64388610004,2035
"172",3385,4275.0413994814,2035
"173",3400,1753.86777424419,2035
"174",3410,14212.5816535518,2035
"175",3452,15000,2035
"176",3501,9236.21984354149,2035
"177",3602,5798.05563849343,2035
"178",3627,13401.8416075647,2035
"179",3628,1500,2035
"180",3692,40000,2035
"181",3699,20000,2035
"182",3725,28620.031002355,2035
"183",3822,3473.79723728205,2035
"184",4023,35416.562575282,2035
"185",4277,96078.999413971,2035
"186",4442,20000,2035
"187",4547,43739.0794324592,2035
"188",4622,36044.0893170631,2035
"189",4916,40000,2035
"190",5055,20000,2035
"191",5101,20000,2035
"192",5110,40000,2035
"193",5111,140000,2035
"194",5130,20000,2035
"195",5138,20000,2035
"196",5139,20000,2035
"197",5140,40000,2035
"198",5142,8263.41512108879,2035
"199",5144,942.721211870795,2035
"200",5146,201.714432034805,2035
"201",5148,40000,2035
"202",5157,20000,2035
"203",5158,20000,2035
"204",5160,20000,2035
"205",5194,20000,2035
"206",5195,188287.269253729,2035
"207",5199,1500,2035
"208",5206,95067.983030812,2035
"209",5310,17132.246571039,2035
"210",5317,20000,2035
"211",5517,21165.3099382054,2035
"212",5523,20968.813669273,2035
"213",5579,8856.35014541002,2035
"214",5594,25057.4805792349,2035
"215",5600,663.570810310706,2035
"216",5601,54379.4600089678,2035
"217",5614,42469.7817804688,2035
"218",5615,4676.49681115666,2035
"219",5621,40000,2035
"220",5624,40000,2035
"221",5636,20000,2035
"222",5661,3337.41077048327,2035
"223",5668,40000,2035
"224",5669,20000,2035
"225",5675,12122.5210670948,2035
"226",5681,40000,2035
"227",5692,20000,2035
"228",5693,20000,2035
"229",5698,20000,2035
"230",5786,20000,2035
"231",5805,16694.3904534316,2035
"232",5844,61267.9358098878,2035
"233",5900,13662.8202297335,2035
"234",5908,20000,2035
"235",5930,20000,2035
"236",6010,20000,2035
"237",6013,20000,2035
"238",6099,20000,2035
"239",6100,15000,2035
"240",6101,750,2035
"241",6102,20000,2035
"242",6136,19161.6556697141,2035
"243",6201,20000,2035
"244",6264,13648.506372733,2035
"245",6390,24751.5070144172,2035
"246",6518,79541.4279659999,2035
"247",6561,19667.5013765618,2035
"248",6836,15882.9294375586,2035
"249",6840,27186.7269057214,2035
