"","TAZ12","fueling","year"
"1",109,40000,2050
"2",116,18457.1489090571,2050
"3",122,9790.35495434679,2050
"4",127,35000,2050
"5",129,20000,2050
"6",130,500,2050
"7",137,20000,2050
"8",139,140000,2050
"9",150,20000,2050
"10",152,80000,2050
"11",156,20000,2050
"12",157,20000,2050
"13",158,1500,2050
"14",161,15727.0880411073,2050
"15",162,20000,2050
"16",163,500,2050
"17",164,20000,2050
"18",165,20000,2050
"19",166,20000,2050
"20",169,60000,2050
"21",170,7500,2050
"22",171,144.488869406591,2050
"23",172,500,2050
"24",219,20000,2050
"25",226,15000,2050
"26",227,500,2050
"27",228,1500,2050
"28",233,2364.72695248772,2050
"29",235,3000,2050
"30",242,1500,2050
"31",244,6285.40966157812,2050
"32",246,905.441181421986,2050
"33",247,737.263444854208,2050
"34",248,1000,2050
"35",251,4179.28674032293,2050
"36",256,1818.37167597233,2050
"37",257,580.170878786019,2050
"38",258,1023.07920286135,2050
"39",262,40000,2050
"40",263,40000,2050
"41",268,20000,2050
"42",273,15000,2050
"43",274,4928.42654093972,2050
"44",276,750,2050
"45",277,60000,2050
"46",278,15000,2050
"47",280,6645.13173864768,2050
"48",286,7500,2050
"49",308,56593.3502630744,2050
"50",309,14979.6385144699,2050
"51",313,40000,2050
"52",327,20000,2050
"53",329,20000,2050
"54",330,4030.63040566801,2050
"55",331,15000,2050
"56",335,20000,2050
"57",345,500,2050
"58",346,20000,2050
"59",403,1e+05,2050
"60",407,20000,2050
"61",414,20000,2050
"62",420,20000,2050
"63",425,20000,2050
"64",426,20000,2050
"65",429,40000,2050
"66",434,40000,2050
"67",446,20000,2050
"68",448,20000,2050
"69",457,20000,2050
"70",458,20000,2050
"71",459,20000,2050
"72",460,750,2050
"73",471,11297.9406742886,2050
"74",500,20000,2050
"75",506,40000,2050
"76",514,20000,2050
"77",516,20000,2050
"78",527,20000,2050
"79",534,20000,2050
"80",545,20000,2050
"81",546,20000,2050
"82",679,40000,2050
"83",705,20000,2050
"84",715,20000,2050
"85",740,60000,2050
"86",742,20000,2050
"87",766,20000,2050
"88",800,20000,2050
"89",801,20000,2050
"90",803,1484.27419515199,2050
"91",817,20000,2050
"92",818,20000,2050
"93",819,20000,2050
"94",829,20000,2050
"95",840,20000,2050
"96",858,40000,2050
"97",877,20000,2050
"98",887,10000,2050
"99",888,15000,2050
"100",895,20000,2050
"101",906,20000,2050
"102",923,750,2050
"103",935,20000,2050
"104",983,20000,2050
"105",1161,20000,2050
"106",1210,20000,2050
"107",1222,20000,2050
"108",1225,20000,2050
"109",1227,20000,2050
"110",1283,40000,2050
"111",1302,40000,2050
"112",1314,20000,2050
"113",1319,20000,2050
"114",1352,20000,2050
"115",1365,40000,2050
"116",1379,20000,2050
"117",1480,40000,2050
"118",1513,20000,2050
"119",1551,20000,2050
"120",1572,20000,2050
"121",1576,20000,2050
"122",1584,20000,2050
"123",1586,20000,2050
"124",1634,20000,2050
"125",1638,20000,2050
"126",1665,20000,2050
"127",1672,40000,2050
"128",1684,20000,2050
"129",1686,20000,2050
"130",1690,20000,2050
"131",1698,20000,2050
"132",1702,20000,2050
"133",1734,20000,2050
"134",1786,20000,2050
"135",1790,20000,2050
"136",1796,20000,2050
"137",1850,60000,2050
"138",1867,20000,2050
"139",1908,15000,2050
"140",1917,60000,2050
"141",1933,7500,2050
"142",1934,20000,2050
"143",1944,20000,2050
"144",2001,20000,2050
"145",2003,120000,2050
"146",2009,20000,2050
"147",2016,20000,2050
"148",2035,20000,2050
"149",2037,20000,2050
"150",2045,20000,2050
"151",2103,20000,2050
"152",2112,20000,2050
"153",2114,20000,2050
"154",2119,20000,2050
"155",2121,20000,2050
"156",2124,20000,2050
"157",2125,20000,2050
"158",2127,20000,2050
"159",2129,160000,2050
"160",2133,20000,2050
"161",2138,20000,2050
"162",2208,20000,2050
"163",2210,40000,2050
"164",2212,160000,2050
"165",2215,20000,2050
"166",2217,20000,2050
"167",2222,20000,2050
"168",2224,20000,2050
"169",2227,20000,2050
"170",2230,20000,2050
"171",2238,20000,2050
"172",2239,20000,2050
"173",2247,20000,2050
"174",2252,20000,2050
"175",2262,20000,2050
"176",2263,20000,2050
"177",2305,20000,2050
"178",2306,20000,2050
"179",2310,40000,2050
"180",2311,20000,2050
"181",2312,40000,2050
"182",2313,40000,2050
"183",2315,20000,2050
"184",2317,20000,2050
"185",2318,20000,2050
"186",2320,20000,2050
"187",2323,20000,2050
"188",2324,40000,2050
"189",2330,20000,2050
"190",2331,20000,2050
"191",2478,40000,2050
"192",2489,20000,2050
"193",2501,20000,2050
"194",2507,8365.70240339013,2050
"195",2509,20000,2050
"196",2518,20000,2050
"197",2520,500,2050
"198",2522,10000,2050
"199",2525,20000,2050
"200",2529,40000,2050
"201",2530,1000,2050
"202",2532,12717.1343784322,2050
"203",2545,20000,2050
"204",2551,20000,2050
"205",2566,20000,2050
"206",2572,35000,2050
"207",2574,20000,2050
"208",2602,1500,2050
"209",2603,500,2050
"210",2605,15000,2050
"211",2703,750,2050
"212",2713,20000,2050
"213",2714,15000,2050
"214",2726,20000,2050
"215",2739,13010.0101460009,2050
"216",2742,2266.33799623973,2050
"217",2743,15000,2050
"218",2772,1500,2050
"219",2784,20000,2050
"220",2795,20000,2050
"221",2805,20000,2050
"222",2824,2e+05,2050
"223",2828,20000,2050
"224",2833,20000,2050
"225",2835,20000,2050
"226",2836,20000,2050
"227",2856,20000,2050
"228",2886,20000,2050
"229",2892,20000,2050
"230",2893,20000,2050
"231",2900,59943.592131176,2050
"232",2904,1855.2924637454,2050
"233",2912,20000,2050
"234",2913,500,2050
"235",2914,15000,2050
"236",2915,19572.7821751426,2050
"237",2916,20000,2050
"238",2918,15000,2050
"239",2923,5000,2050
"240",2931,20000,2050
"241",2934,500,2050
"242",2935,20000,2050
"243",2947,15000,2050
"244",2949,15000,2050
"245",3000,20000,2050
"246",3004,15000,2050
"247",3008,1500,2050
"248",3010,15000,2050
"249",3012,15000,2050
"250",3013,5000,2050
"251",3014,1714.49394762576,2050
"252",3018,2378.05830008668,2050
"253",3019,5000,2050
"254",3020,20000,2050
"255",3021,1000,2050
"256",3022,500,2050
"257",3029,1708.89122458942,2050
"258",3030,1000,2050
"259",3034,500,2050
"260",3100,3000,2050
"261",3101,20000,2050
"262",3108,20000,2050
"263",3121,20000,2050
"264",3137,20000,2050
"265",3211,15000,2050
"266",3213,996.707943119372,2050
"267",3216,20000,2050
"268",3217,20000,2050
"269",3252,20000,2050
"270",3300,612.2750664733,2050
"271",3301,15000,2050
"272",3303,5000,2050
"273",3317,5000,2050
"274",3324,10000,2050
"275",3350,380.30108175893,2050
"276",3362,1500,2050
"277",3363,14935.7931528035,2050
"278",3364,7500,2050
"279",3385,15000,2050
"280",3400,20000,2050
"281",3410,20000,2050
"282",3433,17366.8870124509,2050
"283",3437,17584.7341269666,2050
"284",3452,20000,2050
"285",3501,14622.1168512415,2050
"286",3601,20000,2050
"287",3602,20000,2050
"288",3619,20000,2050
"289",3627,20000,2050
"290",3628,15000,2050
"291",3629,7500,2050
"292",3645,20000,2050
"293",3678,20000,2050
"294",3681,20000,2050
"295",3692,60000,2050
"296",3698,20000,2050
"297",3699,20000,2050
"298",3725,31503.4036731091,2050
"299",3802,80000,2050
"300",3811,45059.9316439603,2050
"301",3822,40000,2050
"302",3912,17439.9870572841,2050
"303",3987,179877.656551056,2050
"304",3990,80000,2050
"305",4023,80000,2050
"306",4073,20000,2050
"307",4144,30699.5289604562,2050
"308",4177,20000,2050
"309",4195,40000,2050
"310",4196,20000,2050
"311",4220,20000,2050
"312",4277,140000,2050
"313",4409,20000,2050
"314",4414,20000,2050
"315",4442,20000,2050
"316",4547,1e+05,2050
"317",4578,20000,2050
"318",4611,20000,2050
"319",4618,60000,2050
"320",4619,40000,2050
"321",4622,80000,2050
"322",4623,40000,2050
"323",4723,20000,2050
"324",4734,20000,2050
"325",4838,80000,2050
"326",4856,20000,2050
"327",4900,20000,2050
"328",4916,40000,2050
"329",5004,20000,2050
"330",5050,20000,2050
"331",5055,20000,2050
