"","TAZ12","fueling","year"
"1",109,3000,2035
"2",116,500,2035
"3",122,500,2035
"4",130,408.33776404,2035
"5",150,15000,2035
"6",152,14360.629316224,2035
"7",156,26.4791241852722,2035
"8",157,500,2035
"9",158,433.591870538211,2035
"10",161,500,2035
"11",162,378.961073553515,2035
"12",163,500,2035
"13",164,437.166119092156,2035
"14",166,20000,2035
"15",169,13.1667281004773,2035
"16",170,500,2035
"17",171,7.08258799953786,2035
"18",172,91.0376755688177,2035
"19",219,500,2035
"20",226,1500,2035
"21",227,469.32417153418,2035
"22",228,59.3749205888717,2035
"23",235,867.920992481489,2035
"24",242,140.963196703105,2035
"25",244,500,2035
"26",246,54.2010621945201,2035
"27",247,44.8990501127255,2035
"28",248,58.2260858915824,2035
"29",251,241.557313619589,2035
"30",256,106.074609370523,2035
"31",257,32.9664740787268,2035
"32",258,283.355614994727,2035
"33",270,476.830656621508,2035
"34",273,500,2035
"35",276,69.7140941728345,2035
"36",277,13179.6172333273,2035
"37",278,1500,2035
"38",280,500,2035
"39",308,1297.43893067741,2035
"40",309,500,2035
"41",315,347.147228306418,2035
"42",331,500,2035
"43",345,500,2035
"44",403,1000,2035
"45",414,500,2035
"46",420,500,2035
"47",425,4558.44639261329,2035
"48",434,15000,2035
"49",435,15000,2035
"50",439,1500,2035
"51",506,13085.0023026693,2035
"52",622,20000,2035
"53",715,500,2035
"54",716,4527.91983540518,2035
"55",742,1500,2035
"56",803,407.87735380913,2035
"57",829,999.999999999998,2035
"58",858,17971.5976090573,2035
"59",877,14345.1297821926,2035
"60",887,500,2035
"61",888,500,2035
"62",895,500,2035
"63",906,500,2035
"64",935,5000,2035
"65",983,1500,2035
"66",1210,5646.44711724119,2035
"67",1283,1000,2035
"68",1314,500,2035
"69",1319,1405.62042297797,2035
"70",1365,9103.32224644671,2035
"71",1480,10000,2035
"72",1610,14974.3986018595,2035
"73",1612,13318.6257488675,2035
"74",1672,1500,2035
"75",1791,1000,2035
"76",1796,8671.30035355701,2035
"77",1850,3942.12106190201,2035
"78",1937,6622.53510287307,2035
"79",1944,500,2035
"80",2003,20000,2035
"81",2019,1500,2035
