"","TAZ12","fueling","year"
"1",109,10000,2040
"2",116,500,2040
"3",122,500,2040
"4",130,500,2040
"5",150,20000,2040
"6",152,20000,2040
"7",156,500,2040
"8",157,20000,2040
"9",158,500,2040
"10",161,500,2040
"11",162,82.7113646791511,2040
"12",163,500,2040
"13",164,20000,2040
"14",166,14102.652507784,2040
"15",169,9628.01535663035,2040
"16",170,750,2040
"17",171,14.5620419736374,2040
"18",172,163.885500200657,2040
"19",208,940.149446143283,2040
"20",219,1697.20878474495,2040
"21",226,1500,2040
"22",227,500,2040
"23",228,500,2040
"24",235,688.338396907931,2040
"25",242,500,2040
"26",244,500,2040
"27",246,107.915832325422,2040
"28",247,86.5592441837739,2040
"29",248,118.777247717515,2040
"30",251,375.936285521919,2040
"31",256,307.566028585559,2040
"32",257,66.9201721467502,2040
"33",258,500,2040
"34",263,12517.5213103575,2040
"35",270,297.855071133236,2040
"36",273,500,2040
"37",276,127.359948345806,2040
"38",277,20000,2040
"39",278,4479.86540314891,2040
"40",280,750,2040
"41",308,15000,2040
"42",309,500,2040
"43",315,20000,2040
"44",331,500,2040
"45",345,500.000000001,2040
"46",403,5565.15115696131,2040
"47",414,500.000000002,2040
"48",420,500,2040
"49",425,9772.44839655617,2040
"50",434,20000,2040
"51",435,19709.4260092715,2040
"52",439,1500,2040
"53",455,15000,2040
"54",506,20000,2040
"55",622,20000,2040
"56",715,500,2040
"57",716,10000,2040
"58",742,1500,2040
"59",803,500,2040
"60",829,20000,2040
"61",858,17407.128653799,2040
"62",872,7500,2040
"63",877,17812.5958126003,2040
"64",887,500,2040
"65",888,1000,2040
"66",895,1500,2040
"67",906,272.926199692427,2040
"68",935,7500,2040
"69",983,6729.44385245171,2040
"70",1210,14359.5579145359,2040
"71",1283,1000,2040
"72",1314,500,2040
"73",1316,5000,2040
"74",1319,1500.000000001,2040
"75",1365,15000,2040
"76",1385,1500,2040
"77",1480,15000,2040
"78",1610,19661.9774166327,2040
"79",1612,16552.041053702,2040
"80",1672,1500,2040
"81",1791,1000,2040
"82",1796,15989.2345732746,2040
"83",1850,15000,2040
"84",1937,15000,2040
"85",1944,469.888371643496,2040
"86",2003,20000,2040
"87",2019,20000,2040
"88",2114,20000,2040
"89",2119,500,2040
"90",2122,20000,2040
"91",2124,20000,2040
"92",2127,20000,2040
"93",2133,32987.6127105315,2040
"94",2208,1000,2040
"95",2215,20000,2040
"96",2220,40000,2040
"97",2224,20000,2040
"98",2227,20000,2040
"99",2309,250.464052320705,2040
"100",2310,27661.2848785326,2040
"101",2311,20000,2040
"102",2323,20000,2040
"103",2324,20000,2040
"104",2478,15841.1941524497,2040
"105",2489,513.043718824068,2040
"106",2507,1500,2040
"107",2509,1500,2040
"108",2510,500,2040
"109",2518,3000,2040
"110",2522,500.000000001,2040
"111",2525,20000,2040
"112",2529,257.470142233465,2040
"113",2530,500,2040
"114",2532,1305.41284393128,2040
"115",2545,8539.29610496634,2040
"116",2551,750.000000001,2040
"117",2566,1500,2040
"118",2602,1500,2040
"119",2713,750,2040
"120",2714,2300.77004645243,2040
"121",2726,7500,2040
"122",2739,500,2040
"123",2742,3000,2040
"124",2772,432.275768505903,2040
"125",2795,40000,2040
"126",2824,19557.7045890336,2040
"127",2833,20000,2040
"128",2893,20000,2040
"129",2897,500,2040
"130",2900,500,2040
"131",2904,500,2040
"132",2912,20000,2040
"133",2914,993.712325198999,2040
"134",2915,500,2040
"135",2923,500,2040
"136",2931,1500,2040
"137",2934,395.039661669685,2040
"138",2935,500,2040
"139",2947,500,2040
"140",2949,7500,2040
"141",3000,500,2040
"142",3003,1313.95391699614,2040
"143",3004,1000,2040
"144",3010,1500,2040
"145",3013,500,2040
"146",3014,493.493037315692,2040
"147",3018,500,2040
"148",3019,500,2040
"149",3020,5000,2040
"150",3021,429.305237922446,2040
"151",3022,482.552177752466,2040
"152",3029,500,2040
"153",3030,500,2040
"154",3034,500.000000004,2040
"155",3100,500,2040
"156",3101,6000,2040
"157",3137,2500,2040
"158",3211,1265.78411903383,2040
"159",3213,500,2040
"160",3216,5000,2040
"161",3252,3521.38043696932,2040
"162",3301,4402.44079441632,2040
"163",3303,1000,2040
"164",3321,1500,2040
"165",3324,500,2040
"166",3362,365.056393284863,2040
"167",3363,750,2040
"168",3364,2000,2040
"169",3385,1116.89901421721,2040
"170",3400,15000,2040
"171",3410,1000,2040
"172",3452,7500,2040
"173",3501,1500,2040
"174",3602,20000,2040
"175",3627,6885.303960479,2040
"176",3628,750,2040
"177",3692,20000,2040
"178",3699,20000,2040
"179",3725,20000,2040
"180",3802,15000,2040
"181",3822,500,2040
"182",4023,44527.411494261,2040
"183",4280,20000,2040
"184",4547,20000,2040
"185",4574,20000,2040
"186",4622,20000,2040
"187",4641,18430.7616135332,2040
"188",4916,20000,2040
"189",5055,14644.8421726794,2040
"190",5101,20000,2040
"191",5110,130000,2040
"192",5111,12371.7506636423,2040
"193",5138,14108.8362958924,2040
"194",5139,20000,2040
"195",5140,40000,2040
"196",5142,15000,2040
"197",5144,20000,2040
"198",5146,12392.8744392359,2040
"199",5148,20000,2040
"200",5150,20000,2040
"201",5157,20000,2040
"202",5158,17895.0605338076,2040
"203",5160,20000,2040
"204",5161,40000,2040
"205",5194,20000,2040
"206",5195,140000,2040
"207",5199,500,2040
"208",5205,20000,2040
"209",5206,55000,2040
"210",5310,7280.98205789553,2040
"211",5317,3000.000000001,2040
"212",5376,20000.000000002,2040
"213",5517,5000,2040
"214",5523,1500,2040
"215",5536,4316.53421550984,2040
"216",5581,15000,2040
"217",5591,20000,2040
"218",5600,395.653546253063,2040
"219",5601,37100.1698248701,2040
"220",5606,20000,2040
"221",5614,20000,2040
"222",5615,320.061237671093,2040
"223",5617,20000,2040
"224",5624,20000,2040
"225",5636,48608.0516382693,2040
"226",5665,4999.999999999,2040
"227",5668,20000,2040
"228",5669,20000,2040
"229",5675,1500.000000001,2040
"230",5681,40000,2040
"231",5691,18618.4806652609,2040
"232",5693,20000,2040
"233",5786,20000,2040
"234",5805,19664.7708972621,2040
"235",5863,20000,2040
"236",5900,20000,2040
"237",6006,20000,2040
"238",6044,37962.4352756127,2040
"239",6099,20000,2040
"240",6100,500,2040
"241",6101,500,2040
"242",6102,20000.000000001,2040
"243",6136,20000,2040
"244",6223,20000,2040
"245",6246,20000,2040
"246",6248,14368.4943986474,2040
"247",6253,20000,2040
"248",6264,1500,2040
"249",6354,20000.000000001,2040
