"","i","TAZ12","value","year","dailyCapacity","hourlyCapacity","cost"
"1",1,130,1,2045,500,324,1262491
"2",1,163,1,2045,500,324,1262491
"3",1,171,1,2045,500,324,1262491
"4",1,172,1,2045,500,324,1262491
"5",1,227,1,2045,500,324,1262491
"6",1,251,1,2045,500,324,1262491
"7",1,257,1,2045,500,324,1262491
"8",1,345,1,2045,500,324,1262491
"9",1,2520,1,2045,500,324,1262491
"10",1,2603,1,2045,500,324,1262491
"11",1,2913,1,2045,500,324,1262491
"12",1,2934,1,2045,500,324,1262491
"13",1,3022,1,2045,500,324,1262491
"14",1,3034,1,2045,500,324,1262491
"15",2,246,1,2045,750,324,1649413
"16",2,247,1,2045,750,324,1649413
"17",2,248,1,2045,750,324,1649413
"18",2,276,1,2045,750,324,1649413
"19",2,420,1,2045,750,324,1649413
"20",2,460,1,2045,750,324,1649413
"21",2,923,1,2045,750,324,1649413
"22",2,2703,1,2045,750,324,1649413
"23",3,258,1,2045,1000,324,1896504
"24",3,803,1,2045,1000,324,1896504
"25",3,2501,1,2045,1000,324,1896504
"26",3,2530,1,2045,1000,324,1896504
"27",3,2915,1,2045,1000,324,1896504
"28",3,3021,1,2045,1000,324,1896504
"29",3,3030,1,2045,1000,324,1896504
"30",4,158,1,2045,1500,324,2509117.08
"31",4,228,1,2045,1500,324,2509117.08
"32",4,242,1,2045,1500,324,2509117.08
"33",4,256,1,2045,1500,324,2509117.08
"34",4,331,1,2045,1500,324,2509117.08
"35",4,2602,1,2045,1500,324,2509117.08
"36",4,2714,1,2045,1500,324,2509117.08
"37",4,2772,1,2045,1500,324,2509117.08
"38",4,2904,1,2045,1500,324,2509117.08
"39",4,3008,1,2045,1500,324,2509117.08
"40",4,3014,1,2045,1500,324,2509117.08
"41",4,3018,1,2045,1500,324,2509117.08
"42",4,3019,1,2045,1500,324,2509117.08
"43",4,3029,1,2045,1500,324,2509117.08
"44",4,3362,1,2045,1500,324,2509117.08
"45",5,233,1,2045,3000,540,4397993.4
"46",5,235,1,2045,3000,540,4397993.4
"47",5,244,1,2045,3000,540,4397993.4
"48",5,251,1,2045,3000,540,4397993.4
"49",5,887,1,2045,3000,540,4397993.4
"50",5,2522,1,2045,3000,540,4397993.4
"51",5,2742,1,2045,3000,540,4397993.4
"52",5,3010,1,2045,3000,540,4397993.4
"53",5,3013,1,2045,3000,540,4397993.4
"54",5,3100,1,2045,3000,540,4397993.4
"55",6,170,1,2045,5000,648,5947404.11
"56",6,280,1,2045,5000,648,5947404.11
"57",6,818,1,2045,5000,648,5947404.11
"58",6,2507,1,2045,5000,648,5947404.11
"59",6,2923,1,2045,5000,648,5947404.11
"60",6,3020,1,2045,5000,648,5947404.11
"61",6,3303,1,2045,5000,648,5947404.11
"62",6,3317,1,2045,5000,648,5947404.11
"63",7,116,1,2045,7500,648,7781636
"64",7,122,1,2045,7500,648,7781636
"65",7,127,1,2045,7500,648,7781636
"66",7,274,1,2045,7500,648,7781636
"67",7,286,1,2045,7500,648,7781636
"68",7,1933,1,2045,7500,648,7781636
"69",7,2318,1,2045,7500,648,7781636
"70",7,2551,1,2045,7500,648,7781636
"71",7,2739,1,2045,7500,648,7781636
"72",7,3364,1,2045,7500,648,7781636
"73",7,3629,1,2045,7500,648,7781636
"74",7,3802,1,2045,7500,648,7781636
"75",7,5905,1,2045,7500,648,7781636
"76",8,330,1,2045,10000,1080,9652630
"77",8,1638,1,2045,10000,1080,9652630
"78",8,2605,1,2045,10000,1080,9652630
"79",8,2892,1,2045,10000,1080,9652630
"80",8,3301,1,2045,10000,1080,9652630
"81",8,3324,1,2045,10000,1080,9652630
"82",8,3363,1,2045,10000,1080,9652630
"83",8,3385,1,2045,10000,1080,9652630
"84",8,3822,1,2045,10000,1080,9652630
"85",8,5206,1,2045,10000,1080,9652630
"86",8,5325,1,2045,10000,1080,9652630
"87",8,5334,1,2045,10000,1080,9652630
"88",8,6103,1,2045,10000,1080,9652630
"89",8,6390,1,2045,10000,1080,9652630
"90",9,161,1,2045,15000,1080,12624651
"91",9,169,1,2045,15000,1080,12624651
"92",9,226,1,2045,15000,1080,12624651
"93",9,273,1,2045,15000,1080,12624651
"94",9,278,1,2045,15000,1080,12624651
"95",9,309,1,2045,15000,1080,12624651
"96",9,429,1,2045,15000,1080,12624651
"97",9,740,1,2045,15000,1080,12624651
"98",9,888,1,2045,15000,1080,12624651
"99",9,906,1,2045,15000,1080,12624651
"100",9,1480,1,2045,15000,1080,12624651
"101",9,1850,1,2045,15000,1080,12624651
"102",9,1908,1,2045,15000,1080,12624651
"103",9,2331,1,2045,15000,1080,12624651
"104",9,2532,1,2045,15000,1080,12624651
"105",9,2572,2,2045,15000,1080,12624651
"106",9,2713,1,2045,15000,1080,12624651
"107",9,2743,1,2045,15000,1080,12624651
"108",9,2914,1,2045,15000,1080,12624651
"109",9,2918,1,2045,15000,1080,12624651
"110",9,2947,1,2045,15000,1080,12624651
"111",9,2949,1,2045,15000,1080,12624651
"112",9,3000,1,2045,15000,1080,12624651
"113",9,3004,1,2045,15000,1080,12624651
"114",9,3012,1,2045,15000,1080,12624651
"115",9,3211,1,2045,15000,1080,12624651
"116",9,3252,1,2045,15000,1080,12624651
"117",9,3628,1,2045,15000,1080,12624651
"118",9,3802,1,2045,15000,1080,12624651
"119",9,3822,1,2045,15000,1080,12624651
"120",9,3990,1,2045,15000,1080,12624651
"121",9,5112,1,2045,15000,1080,12624651
"122",9,5152,1,2045,15000,1080,12624651
"123",9,5205,1,2045,15000,1080,12624651
"124",9,5325,1,2045,15000,1080,12624651
"125",9,5581,1,2045,15000,1080,12624651
"126",9,5657,1,2045,15000,1080,12624651
"127",9,5664,1,2045,15000,1080,12624651
"128",9,6103,1,2045,15000,1080,12624651
"129",9,6108,1,2045,15000,1080,12624651
"130",9,6237,1,2045,15000,1080,12624651
"131",9,6390,1,2045,15000,1080,12624651
"132",10,109,2,2045,20000,2160,16258879
"133",10,127,1,2045,20000,2160,16258879
"134",10,129,1,2045,20000,2160,16258879
"135",10,137,1,2045,20000,2160,16258879
"136",10,139,4,2045,20000,2160,16258879
"137",10,150,1,2045,20000,2160,16258879
"138",10,152,4,2045,20000,2160,16258879
"139",10,156,1,2045,20000,2160,16258879
"140",10,157,1,2045,20000,2160,16258879
"141",10,162,1,2045,20000,2160,16258879
"142",10,164,1,2045,20000,2160,16258879
"143",10,166,1,2045,20000,2160,16258879
