"","i","TAZ12","value","year","dailyCapacity","hourlyCapacity","cost"
"1",1,116,1,2040,500,324,1262491
"2",1,130,1,2040,500,324,1262491
"3",1,161,1,2040,500,324,1262491
"4",1,163,1,2040,500,324,1262491
"5",1,171,1,2040,500,324,1262491
"6",1,172,1,2040,500,324,1262491
"7",1,227,1,2040,500,324,1262491
"8",1,242,2,2040,500,324,1262491
"9",1,246,1,2040,500,324,1262491
"10",1,247,1,2040,500,324,1262491
"11",1,248,1,2040,500,324,1262491
"12",1,257,1,2040,500,324,1262491
"13",1,258,1,2040,500,324,1262491
"14",1,276,1,2040,500,324,1262491
"15",1,345,1,2040,500,324,1262491
"16",1,420,1,2040,500,324,1262491
"17",1,766,1,2040,500,324,1262491
"18",1,887,1,2040,500,324,1262491
"19",1,1638,1,2040,500,324,1262491
"20",1,2313,1,2040,500,324,1262491
"21",1,2520,1,2040,500,324,1262491
"22",1,2530,1,2040,500,324,1262491
"23",1,2603,1,2040,500,324,1262491
"24",1,2739,1,2040,500,324,1262491
"25",1,2784,2,2040,500,324,1262491
"26",1,2913,1,2040,500,324,1262491
"27",1,2914,3,2040,500,324,1262491
"28",1,2918,1,2040,500,324,1262491
"29",1,2923,1,2040,500,324,1262491
"30",1,2931,1,2040,500,324,1262491
"31",1,2934,1,2040,500,324,1262491
"32",1,3022,1,2040,500,324,1262491
"33",1,3029,2,2040,500,324,1262491
"34",1,3030,1,2040,500,324,1262491
"35",1,3034,1,2040,500,324,1262491
"36",1,3137,9,2040,500,324,1262491
"37",1,3301,1,2040,500,324,1262491
"38",1,5518,1,2040,500,324,1262491
"39",1,5611,1,2040,500,324,1262491
"40",1,5633,1,2040,500,324,1262491
"41",1,5664,1,2040,500,324,1262491
"42",1,5844,5,2040,500,324,1262491
"43",2,122,1,2040,750,324,1649413
"44",2,158,1,2040,750,324,1649413
"45",2,459,2,2040,750,324,1649413
"46",2,460,1,2040,750,324,1649413
"47",2,801,2,2040,750,324,1649413
"48",2,803,1,2040,750,324,1649413
"49",2,923,1,2040,750,324,1649413
"50",2,1790,2,2040,750,324,1649413
"51",2,2703,1,2040,750,324,1649413
"52",2,2739,1,2040,750,324,1649413
"53",2,2904,1,2040,750,324,1649413
"54",2,5616,1,2040,750,324,1649413
"55",2,5657,3,2040,750,324,1649413
"56",3,122,1,2040,1000,324,1896504
"57",3,256,1,2040,1000,324,1896504
"58",3,286,1,2040,1000,324,1896504
"59",3,331,1,2040,1000,324,1896504
"60",3,1225,3,2040,1000,324,1896504
"61",3,1908,4,2040,1000,324,1896504
"62",3,2501,1,2040,1000,324,1896504
"63",3,2522,1,2040,1000,324,1896504
"64",3,2915,1,2040,1000,324,1896504
"65",3,3014,1,2040,1000,324,1896504
"66",3,3018,1,2040,1000,324,1896504
"67",3,3019,1,2040,1000,324,1896504
"68",3,3021,1,2040,1000,324,1896504
"69",3,3100,2,2040,1000,324,1896504
"70",3,5636,1,2040,1000,324,1896504
"71",3,5671,2,2040,1000,324,1896504
