"","TAZ12","fueling","year"
"1",109,11547.7489587175,2050
"2",122,55.94271317625,2050
"3",124,1500,2050
"4",129,14502.5410809052,2050
"5",130,448.9336386975,2050
"6",137,20000,2050
"7",150,20000,2050
"8",152,20000,2050
"9",156,20000,2050
"10",157,20000,2050
"11",158,306.21279827542,2050
"12",161,154.919266671934,2050
"13",162,1910.94210220238,2050
"14",163,118.288907003041,2050
"15",164,20000,2050
"16",165,13873.4029042332,2050
"17",166,20000.000000001,2050
"18",168,40000,2050
"19",169,20000,2050
"20",170,1419.03049600847,2050
"21",171,31.4289078882144,2050
"22",172,334.606015458609,2050
"23",202,2050.27234174048,2050
"24",219,6963.17671279931,2050
"25",226,11186.5105324717,2050
"26",227,500,2050
"27",228,500,2050
"28",235,1615.96671231482,2050
"29",242,1500,2050
"30",244,1000,2050
"31",246,198.836942708609,2050
"32",247,163.691426162739,2050
"33",248,222.196159471453,2050
"34",251,750,2050
"35",256,500,2050
"36",257,123.318210350596,2050
"37",258,500,2050
"38",262,17477.8092198824,2050
"39",263,20000,2050
"40",270,20000,2050
"41",273,4960.13191037713,2050
"42",276,242.94494451314,2050
"43",277,20000,2050
"44",278,2739.15514440431,2050
"45",280,1500,2050
"46",308,11678.698206201,2050
"47",309,3166.71454839576,2050
"48",310,28255.5572703724,2050
"49",315,20000,2050
"50",331,750,2050
"51",345,202.547085437195,2050
"52",403,20000,2050
"53",414,500,2050
"54",415,4948.21097688016,2050
"55",420,173.70847856968,2050
"56",425,15000,2050
"57",434,20000,2050
"58",435,20000,2050
"59",439,15000,2050
"60",448,20000,2050
"61",455,9818.26525873443,2050
"62",506,40000,2050
"63",622,20000,2050
"64",626,20000,2050
"65",705,12419.162172179,2050
"66",715,6995.91831168724,2050
"67",716,12030.5849463046,2050
"68",742,7082.38147002053,2050
"69",803,500,2050
"70",813,20000,2050
"71",817,15735.6972191999,2050
"72",829,20000,2050
"73",836,1346.98674932017,2050
"74",858,20000,2050
"75",859,17759.1018312893,2050
"76",872,20000,2050
"77",877,20000,2050
"78",887,399.149027906434,2050
"79",888,1017.17261156815,2050
"80",895,1500,2050
"81",906,488.043065239048,2050
"82",935,6554.21227268129,2050
"83",947,6350.94168529966,2050
"84",983,17400.1692962207,2050
"85",1210,20000,2050
"86",1283,20000,2050
"87",1314,20000,2050
"88",1319,1500,2050
"89",1365,20000,2050
"90",1385,15000,2050
"91",1480,20000,2050
"92",1610,20000,2050
"93",1612,20000,2050
"94",1672,20000,2050
"95",1791,20000,2050
"96",1796,13850.7147142041,2050
"97",1850,20000,2050
"98",1937,20000,2050
"99",1944,500,2050
"100",2000,40000,2050
"101",2003,10793.8963758757,2050
"102",2019,20000,2050
"103",2029,20000,2050
"104",2038,40000,2050
"105",2040,20000,2050
"106",2114,20000,2050
"107",2119,20000,2050
"108",2122,20000,2050
"109",2124,20000,2050
"110",2127,20000,2050
"111",2133,40000,2050
"112",2208,20000,2050
"113",2215,20000,2050
"114",2220,40000,2050
"115",2224,20000,2050
"116",2227,20000,2050
"117",2260,80000,2050
"118",2310,40000,2050
"119",2311,20000,2050
"120",2313,20000,2050
"121",2315,11950.7044976917,2050
"122",2318,20000,2050
"123",2322,60000,2050
"124",2323,20000,2050
"125",2324,20000,2050
"126",2332,9782.40269131182,2050
"127",2478,13513.5154015521,2050
"128",2489,419.205533011063,2050
"129",2507,3000,2050
"130",2509,9834.40667326066,2050
"131",2510,956.118531159804,2050
"132",2518,3786.17996881291,2050
"133",2520,6884.18187848754,2050
"134",2522,414.558688958237,2050
"135",2525,20000,2050
"136",2529,20000,2050
"137",2530,500,2050
"138",2532,1500.000000001,2050
"139",2543,1000,2050
"140",2545,15000,2050
"141",2551,750,2050
"142",2566,15000,2050
"143",2572,63.1024481125,2050
"144",2602,1500,2050
"145",2713,1500.000000001,2050
"146",2714,2099.61159537542,2050
"147",2726,7749.24724592096,2050
"148",2736,13766.3338742126,2050
"149",2739,376.578500026886,2050
"150",2742,6995.51151320008,2050
"151",2772,323.68015194927,2050
"152",2795,40000,2050
"153",2805,20000,2050
"154",2810,16996.4877228118,2050
"155",2812,20000,2050
"156",2824,20000,2050
"157",2833,20000,2050
"158",2840,20000,2050
"159",2893,20000,2050
"160",2894,20000,2050
"161",2900,20000,2050
"162",2904,304.601302051526,2050
"163",2912,20000,2050
"164",2914,6186.43193749004,2050
"165",2915,500,2050
"166",2918,20000,2050
"167",2923,307.571459892053,2050
"168",2931,1388.35311227275,2050
"169",2934,500,2050
"170",2935,12138.8949848159,2050
"171",2947,500,2050
"172",2949,7085.54967412871,2050
"173",3000,500,2050
"174",3003,1415.89468019516,2050
"175",3004,597.360621467559,2050
"176",3008,500,2050
"177",3010,2503.76462452157,2050
"178",3012,2928.01595557523,2050
"179",3013,1500,2050
"180",3014,475.035390106205,2050
"181",3018,500,2050
"182",3019,500,2050
"183",3020,5000,2050
"184",3021,500,2050
"185",3022,500,2050
"186",3029,1000,2050
"187",3030,500,2050
"188",3034,500,2050
"189",3100,1500,2050
"190",3101,7294.32301652494,2050
"191",3137,20000,2050
"192",3211,1500,2050
"193",3213,1500,2050
"194",3216,4136.94528693334,2050
"195",3246,10000,2050
"196",3252,6812.2808633579,2050
"197",3300,1167.06186955327,2050
"198",3301,2842.50680738703,2050
"199",3303,1000,2050
"200",3321,1500,2050
"201",3324,7177.72749040892,2050
"202",3362,500,2050
"203",3363,1000,2050
"204",3364,3000,2050
"205",3377,3000,2050
"206",3385,1500,2050
"207",3400,20000,2050
