"","i","TAZ12","value","year","dailyCapacity","hourlyCapacity","cost"
"1",1,109,1,2025,500,324,1262491
"2",1,116,1,2025,500,324,1262491
"3",1,122,1,2025,500,324,1262491
"4",1,130,1,2025,500,324,1262491
"5",1,156,1,2025,500,324,1262491
"6",1,157,1,2025,500,324,1262491
"7",1,158,1,2025,500,324,1262491
"8",1,161,1,2025,500,324,1262491
"9",1,162,1,2025,500,324,1262491
"10",1,163,1,2025,500,324,1262491
"11",1,164,1,2025,500,324,1262491
"12",1,166,1,2025,500,324,1262491
"13",1,169,1,2025,500,324,1262491
"14",1,170,1,2025,500,324,1262491
"15",1,171,1,2025,500,324,1262491
"16",1,172,1,2025,500,324,1262491
"17",1,219,1,2025,500,324,1262491
"18",1,226,1,2025,500,324,1262491
"19",1,227,1,2025,500,324,1262491
"20",1,228,1,2025,500,324,1262491
"21",1,235,1,2025,500,324,1262491
"22",1,242,1,2025,500,324,1262491
"23",1,244,1,2025,500,324,1262491
"24",1,246,1,2025,500,324,1262491
"25",1,247,1,2025,500,324,1262491
"26",1,248,1,2025,500,324,1262491
"27",1,251,1,2025,500,324,1262491
"28",1,256,1,2025,500,324,1262491
"29",1,257,1,2025,500,324,1262491
"30",1,258,1,2025,500,324,1262491
"31",1,270,1,2025,500,324,1262491
"32",1,273,1,2025,500,324,1262491
"33",1,276,1,2025,500,324,1262491
"34",1,277,1,2025,500,324,1262491
"35",1,278,1,2025,500,324,1262491
"36",1,280,1,2025,500,324,1262491
"37",1,308,1,2025,500,324,1262491
"38",1,309,1,2025,500,324,1262491
"39",1,331,1,2025,500,324,1262491
"40",1,403,1,2025,500,324,1262491
"41",1,414,1,2025,500,324,1262491
"42",1,420,1,2025,500,324,1262491
"43",1,425,1,2025,500,324,1262491
"44",1,439,1,2025,500,324,1262491
"45",1,715,1,2025,500,324,1262491
"46",1,742,1,2025,500,324,1262491
"47",1,803,1,2025,500,324,1262491
"48",1,829,1,2025,500,324,1262491
"49",1,858,1,2025,500,324,1262491
"50",1,877,1,2025,500,324,1262491
"51",1,887,1,2025,500,324,1262491
"52",1,888,1,2025,500,324,1262491
"53",1,895,1,2025,500,324,1262491
"54",1,906,1,2025,500,324,1262491
"55",1,935,1,2025,500,324,1262491
"56",1,983,1,2025,500,324,1262491
"57",1,1210,1,2025,500,324,1262491
"58",1,1283,1,2025,500,324,1262491
"59",1,1314,1,2025,500,324,1262491
"60",1,1319,1,2025,500,324,1262491
"61",1,1365,1,2025,500,324,1262491
"62",1,1480,1,2025,500,324,1262491
"63",1,1672,1,2025,500,324,1262491
"64",1,1796,1,2025,500,324,1262491
"65",1,1850,1,2025,500,324,1262491
"66",1,1944,1,2025,500,324,1262491
"67",1,2003,1,2025,500,324,1262491
"68",1,2114,1,2025,500,324,1262491
"69",1,2119,1,2025,500,324,1262491
"70",1,2208,1,2025,500,324,1262491
"71",1,2215,1,2025,500,324,1262491
"72",1,2224,1,2025,500,324,1262491
"73",1,2310,1,2025,500,324,1262491
"74",1,2311,1,2025,500,324,1262491
"75",1,2323,1,2025,500,324,1262491
"76",1,2324,1,2025,500,324,1262491
"77",1,2478,1,2025,500,324,1262491
"78",1,2507,1,2025,500,324,1262491
"79",1,2509,1,2025,500,324,1262491
"80",1,2518,1,2025,500,324,1262491
"81",1,2522,1,2025,500,324,1262491
"82",1,2525,1,2025,500,324,1262491
"83",1,2529,1,2025,500,324,1262491
"84",1,2530,1,2025,500,324,1262491
"85",1,2532,1,2025,500,324,1262491
"86",1,2551,1,2025,500,324,1262491
"87",1,2566,1,2025,500,324,1262491
"88",1,2713,1,2025,500,324,1262491
"89",1,2714,1,2025,500,324,1262491
"90",1,2726,1,2025,500,324,1262491
"91",1,2739,1,2025,500,324,1262491
"92",1,2742,1,2025,500,324,1262491
"93",1,2772,1,2025,500,324,1262491
"94",1,2824,1,2025,500,324,1262491
"95",1,2893,1,2025,500,324,1262491
"96",1,2897,1,2025,500,324,1262491
"97",1,2900,1,2025,500,324,1262491
"98",1,2904,1,2025,500,324,1262491
"99",1,2912,1,2025,500,324,1262491
"100",1,2914,1,2025,500,324,1262491
"101",1,2915,1,2025,500,324,1262491
"102",1,2923,1,2025,500,324,1262491
"103",1,2931,1,2025,500,324,1262491
"104",1,2934,1,2025,500,324,1262491
"105",1,2935,1,2025,500,324,1262491
"106",1,2947,1,2025,500,324,1262491
"107",1,2949,1,2025,500,324,1262491
"108",1,3000,1,2025,500,324,1262491
"109",1,3004,1,2025,500,324,1262491
"110",1,3010,1,2025,500,324,1262491
"111",1,3013,1,2025,500,324,1262491
"112",1,3014,1,2025,500,324,1262491
"113",1,3018,1,2025,500,324,1262491
"114",1,3019,1,2025,500,324,1262491
"115",1,3020,1,2025,500,324,1262491
"116",1,3021,1,2025,500,324,1262491
"117",1,3022,1,2025,500,324,1262491
"118",1,3029,1,2025,500,324,1262491
"119",1,3030,1,2025,500,324,1262491
"120",1,3034,1,2025,500,324,1262491
"121",1,3100,1,2025,500,324,1262491
"122",1,3101,1,2025,500,324,1262491
"123",1,3137,1,2025,500,324,1262491
"124",1,3211,1,2025,500,324,1262491
"125",1,3213,1,2025,500,324,1262491
"126",1,3216,1,2025,500,324,1262491
"127",1,3252,1,2025,500,324,1262491
"128",1,3301,1,2025,500,324,1262491
"129",1,3303,1,2025,500,324,1262491
"130",1,3324,1,2025,500,324,1262491
"131",1,3362,1,2025,500,324,1262491
"132",1,3363,1,2025,500,324,1262491
"133",1,3364,1,2025,500,324,1262491
"134",1,3385,1,2025,500,324,1262491
"135",1,3400,1,2025,500,324,1262491
"136",1,3452,1,2025,500,324,1262491
"137",1,3501,1,2025,500,324,1262491
"138",1,3602,1,2025,500,324,1262491
"139",1,3627,1,2025,500,324,1262491
"140",1,3628,1,2025,500,324,1262491
"141",1,3692,1,2025,500,324,1262491
"142",1,3699,1,2025,500,324,1262491
"143",1,3725,1,2025,500,324,1262491
"144",1,3822,1,2025,500,324,1262491
"145",1,4023,1,2025,500,324,1262491
"146",1,4916,1,2025,500,324,1262491
"147",1,5055,1,2025,500,324,1262491
"148",1,5139,1,2025,500,324,1262491
"149",1,5140,1,2025,500,324,1262491
