TAZ12,Lon,Lat,fueling,year
"109",-123.755197379477,41.1541477436378,157.32409150625,"2025"
"116",-124.056933434818,40.4424556590573,83.0162419242039,"2025"
"122",-120.592987698823,40.8639250224093,6.754585815,"2025"
"130",-120.50537088862,41.5761323329595,1.71417068375,"2025"
"156",-122.359142806701,40.9950928788783,500,"2025"
"157",-121.997793569239,40.8695228215215,7.30182204932728,"2025"
"158",-121.513203795865,40.6729642834579,29.2782601197898,"2025"
"161",-122.041755606452,41.7974598413151,69.4369198329087,"2025"
"162",-122.475503414042,41.8891099632226,18.7533313119636,"2025"
"163",-123.335680907067,41.7447460048882,40.8784140067796,"2025"
"164",-123.020229747748,41.4013733776321,500,"2025"
"166",-122.435598978743,41.4823758663718,403.538352057855,"2025"
"169",-121.813996666238,41.4130876781861,500,"2025"
"170",-122.778672438376,40.9218877079846,13.4527594042096,"2025"
"171",-123.26194366533,40.8849612994346,0.334158004188504,"2025"
"172",-123.242836035237,40.4876323079403,0.324153984642152,"2025"
"219",-121.332130179713,39.6408160566063,62.3368352711764,"2025"
"226",-121.777392301415,39.4185001197963,5.77730996014955,"2025"
"227",-122.01186113245,39.0017575662403,1.55037599616164,"2025"
"228",-122.357841300107,39.2190973272834,8.64967799575269,"2025"
"235",-122.046855323628,39.6714882878186,131.139667319337,"2025"
"242",-122.516642598164,38.8210081514369,3.15089401794511,"2025"
"244",-122.863790704433,39.2897206648043,13.8272360057603,"2025"
"246",-123.214005860486,39.7678225150764,1.50133202256744,"2025"
"247",-123.696780822889,39.7797722225828,1.49047399511341,"2025"
"248",-123.638358068746,39.4549754829463,0.855952002501073,"2025"
"251",-123.31842823481,39.358752302385,8.76423588722788,"2025"
"256",-123.528879752079,39.1619536853695,4.05235206867377,"2025"
"257",-123.511530514922,38.9071458741385,1.3637160141936,"2025"
"258",-123.198119488288,38.9628393576288,4.40761600328771,"2025"
"270",-121.169398640059,39.1003566471323,189.65590129727,"2025"
"273",-121.003790813055,39.8816399405759,16.011148762056,"2025"
"276",-121.235650122588,40.2722854949641,1.19681999883575,"2025"
"277",-120.516014343013,39.580688669977,500,"2025"
"278",-121.808539266908,40.1955332495693,17.4981474307285,"2025"
"280",-122.330292053655,40.2721818766048,11.0840659829202,"2025"
"308",-121.621730964904,38.8940215276172,235.276990071794,"2025"
"309",-121.800555761586,39.1532217658689,74.4496786456321,"2025"
"331",-122.137491984328,38.7861425665166,49.2302498866594,"2025"
"403",-120.976681168372,38.8534670700679,500,"2025"
"414",-120.324744326104,38.8305565323631,19.9937265723783,"2025"
"420",-120.733007600707,38.8929687729119,6.70548598976335,"2025"
"425",-120.526148108695,38.6028624578985,162.003560778367,"2025"
"434",-120.474697300892,39.2486513050169,661.307272267521,"2025"
"439",-121.23108578315,38.7830351865452,144.686903962699,"2025"
"506",-121.467335110454,38.5876624894595,1276.76761259652,"2025"
"715",-121.625620682018,38.1702973354452,363.627780195178,"2025"
"742",-121.278113561835,38.2908557249288,64.547394247734,"2025"
"803",-122.304669514121,38.626594073059,13.6616832390863,"2025"
"829",-121.800333120393,38.4226701653643,273.343691525185,"2025"
"858",-122.166125129309,38.2540563838418,500,"2025"
"877",-121.977703574752,38.1573677714284,260.567401948886,"2025"
"887",-123.218622980784,38.6322674554832,19.3438320334808,"2025"
"888",-122.822270828278,38.7299133905846,21.7867599819723,"2025"
"895",-122.960106445359,38.518595563279,3.25764399903916,"2025"
"906",-122.7834662554,38.1630636588719,85.8474064242033,"2025"
"935",-122.497077312202,37.9559523409793,62.1913829464354,"2025"
"983",-122.54672852134,38.2190105926224,68.082954200432,"2025"
"1210",-122.414118649336,37.5345521215456,148.966273131793,"2025"
"1283",-122.299910594892,37.2903668424745,264.980493932262,"2025"
"1314",-121.819115151108,37.8322896653234,25.903463775,"2025"
"1319",-122.153272293955,38.0162324480831,206.290929623849,"2025"
"1365",-121.632263702073,37.8819063487158,500,"2025"
"1480",-122.308439123972,37.8015331211233,235.250271678295,"2025"
"1672",-121.989909283744,37.6501706443344,448.865975054906,"2025"
"1796",-121.973765460631,37.4414115045493,198.774353175,"2025"
"1850",-121.89986419762,37.3462081373769,175.601798104391,"2025"
"1944",-121.515854373978,37.2357884174404,129.947811896665,"2025"
"2003",-121.182289943771,37.9347984749818,61.8560905710328,"2025"
"2114",-121.453225587472,37.6113436116689,381.636209631494,"2025"
"2119",-121.077666676359,38.1160988621884,320.691727513475,"2025"
"2127",-121.114934764578,37.7551238096651,83.9807742961604,"2025"
"2133",-121.458026689971,37.921840478373,4611.08485354349,"2025"
"2208",-121.311387632705,37.4888211038607,381.266336134725,"2025"
"2215",-120.88971210717,37.5082736556468,500,"2025"
