"","i","TAZ12","value","year","dailyCapacity","hourlyCapacity","cost"
"1",1,116,1,2035,500,324,1262491
"2",1,122,1,2035,500,324,1262491
"3",1,130,1,2035,500,324,1262491
"4",1,156,1,2035,500,324,1262491
"5",1,157,1,2035,500,324,1262491
"6",1,158,1,2035,500,324,1262491
"7",1,161,1,2035,500,324,1262491
"8",1,162,1,2035,500,324,1262491
"9",1,163,1,2035,500,324,1262491
"10",1,164,1,2035,500,324,1262491
"11",1,169,1,2035,500,324,1262491
"12",1,170,1,2035,500,324,1262491
"13",1,171,1,2035,500,324,1262491
"14",1,172,1,2035,500,324,1262491
"15",1,219,1,2035,500,324,1262491
"16",1,227,1,2035,500,324,1262491
"17",1,228,1,2035,500,324,1262491
"18",1,242,1,2035,500,324,1262491
"19",1,244,1,2035,500,324,1262491
"20",1,246,1,2035,500,324,1262491
"21",1,247,1,2035,500,324,1262491
"22",1,248,1,2035,500,324,1262491
"23",1,251,1,2035,500,324,1262491
"24",1,256,1,2035,500,324,1262491
"25",1,257,1,2035,500,324,1262491
"26",1,258,1,2035,500,324,1262491
"27",1,270,1,2035,500,324,1262491
"28",1,273,1,2035,500,324,1262491
"29",1,276,1,2035,500,324,1262491
"30",1,280,1,2035,500,324,1262491
"31",1,309,1,2035,500,324,1262491
"32",1,315,1,2035,500,324,1262491
"33",1,331,1,2035,500,324,1262491
"34",1,345,1,2035,500,324,1262491
"35",1,414,1,2035,500,324,1262491
"36",1,420,1,2035,500,324,1262491
"37",1,715,1,2035,500,324,1262491
"38",1,803,1,2035,500,324,1262491
"39",1,887,1,2035,500,324,1262491
"40",1,888,1,2035,500,324,1262491
"41",1,895,1,2035,500,324,1262491
"42",1,906,1,2035,500,324,1262491
"43",1,1314,1,2035,500,324,1262491
"44",1,1944,1,2035,500,324,1262491
"45",1,2114,1,2035,500,324,1262491
"46",1,2119,1,2035,500,324,1262491
"47",1,2208,1,2035,500,324,1262491
"48",1,2323,1,2035,500,324,1262491
"49",1,2522,1,2035,500,324,1262491
"50",1,2529,1,2035,500,324,1262491
"51",1,2530,1,2035,500,324,1262491
"52",1,2532,1,2035,500,324,1262491
"53",1,2602,1,2035,500,324,1262491
"54",1,2713,1,2035,500,324,1262491
"55",1,2714,1,2035,500,324,1262491
"56",1,2739,1,2035,500,324,1262491
"57",1,2772,1,2035,500,324,1262491
"58",1,2824,1,2035,500,324,1262491
"59",1,2897,1,2035,500,324,1262491
"60",1,2900,1,2035,500,324,1262491
"61",1,2904,1,2035,500,324,1262491
"62",1,2914,1,2035,500,324,1262491
"63",1,2915,1,2035,500,324,1262491
"64",1,2923,1,2035,500,324,1262491
"65",1,2934,1,2035,500,324,1262491
"66",1,2935,1,2035,500,324,1262491
"67",1,2947,1,2035,500,324,1262491
"68",1,3000,1,2035,500,324,1262491
"69",1,3004,1,2035,500,324,1262491
"70",1,3013,1,2035,500,324,1262491
"71",1,3014,1,2035,500,324,1262491
"72",1,3018,1,2035,500,324,1262491
"73",1,3019,1,2035,500,324,1262491
"74",1,3021,1,2035,500,324,1262491
"75",1,3022,1,2035,500,324,1262491
"76",1,3029,1,2035,500,324,1262491
"77",1,3030,1,2035,500,324,1262491
"78",1,3034,1,2035,500,324,1262491
"79",1,3100,1,2035,500,324,1262491
"80",1,3211,1,2035,500,324,1262491
"81",1,3213,1,2035,500,324,1262491
"82",1,3303,1,2035,500,324,1262491
"83",1,3324,1,2035,500,324,1262491
"84",1,3362,1,2035,500,324,1262491
"85",1,3363,1,2035,500,324,1262491
"86",1,3400,1,2035,500,324,1262491
"87",1,3602,1,2035,500,324,1262491
"88",1,3628,1,2035,500,324,1262491
"89",1,3822,1,2035,500,324,1262491
"90",1,5055,1,2035,500,324,1262491
"91",1,5139,1,2035,500,324,1262491
"92",1,5157,1,2035,500,324,1262491
"93",1,5194,1,2035,500,324,1262491
"94",1,5199,1,2035,500,324,1262491
"95",1,5591,1,2035,500,324,1262491
"96",1,5600,1,2035,500,324,1262491
"97",1,5615,1,2035,500,324,1262491
"98",1,5693,1,2035,500,324,1262491
"99",1,6099,1,2035,500,324,1262491
"100",1,6100,1,2035,500,324,1262491
"101",1,6101,1,2035,500,324,1262491
"102",1,6253,1,2035,500,324,1262491
"103",1,6561,1,2035,500,324,1262491
"104",2,2551,1,2035,750,324,1649413
"105",2,3364,1,2035,750,324,1649413
"106",2,5158,1,2035,750,324,1649413
"107",2,6006,1,2035,750,324,1649413
"108",3,235,1,2035,1000,324,1896504
"109",3,403,1,2035,1000,324,1896504
"110",3,829,1,2035,1000,324,1896504
"111",3,1283,1,2035,1000,324,1896504
"112",3,1791,1,2035,1000,324,1896504
"113",3,2489,1,2035,1000,324,1896504
